ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
52,1,1,6,6,"[658, 1369, 1033, 145, 741, 841, 1439]",0.622,0.241,0.381,0.004373343104897168,0.6955027947068414,False
53,1,1,6,8,"[373, 1302, 1326, 1374, 1517, 969, 1565, 228, 798]",0.461,0.248,0.362,0.01852714758593185,0.99999992951163,False
54,1,0,6,24,"[1284, 911, 1226, 1177, 273, 1500, 1420, 1063, 103, 515, 10, 957, 783, 1583, 662, 36, 979, 300, 1266, 1430, 1236, 1037, 77, 1327, 1152]",1.383,0.255,1.147,0.008030479737681619,0.009449200025789702,True
55,1,0,6,16,"[1624, 381, 1648, 376, 896, 165, 355, 303, 40, 1334, 560, 158, 1550, 1574, 1673, 1067, 144]",0.622,0.27,0.461,0.014053081356851422,0.975164558370597,False
56,1,0,6,20,"[586, 1029, 1807, 215, 285, 688, 808, 1305, 454, 1392, 1146, 732, 22, 928, 792, 1382, 1169, 1486, 1122, 1173, 82]",1.244,0.305,1.074,0.00022355188313976252,9.906533818745978e-29,True
57,1,1,6,44,"[1833, 1303, 374, 274, 609, 229, 31, 319, 518, 537, 368, 800, 1110, 248, 1191, 176, 970, 81, 728, 1774, 1158, 129, 12, 1471, 441, 994, 631, 1639, 703, 1087, 1375, 1399, 1065, 296, 1182, 1707, 895, 655, 1592, 488, 1713, 1544, 1206, 1518, 1216]",1.081,0.333,0.928,0.0017001788634208052,5.358479134259809e-36,True
58,1,1,6,4,"[1125, 407, 112, 202, 1102]",0.671,0.342,0.591,0.008880306627605486,0.9997145619278841,False
59,1,2,6,1,"[1555, 1168]",0.357,0.357,0.357,0.009102679693180495,0.9999991549156064,False
60,1,1,6,29,"[540, 577, 1058, 1364, 600, 929, 529, 780, 564, 409, 697, 733, 1819, 1729, 1407, 1387, 1697, 792, 495, 587, 898, 1554, 1097, 204, 1137, 1578, 1602, 226, 1667, 1680]",1.429,0.427,1.208,0.003277072522958125,2.6459925714041174e-12,True
61,1,0,6,63,"[1292, 1695, 610, 1405, 665, 1319, 687, 1458, 1191, 736, 886, 199, 1485, 1743, 902, 1221, 231, 39, 1411, 1007, 448, 972, 761, 249, 369, 1788, 1096, 1719, 879, 1136, 261, 1067, 703, 1381, 493, 597, 1232, 807, 1714, 303, 1816, 1767, 1310, 1208, 1047, 643, 1367, 620, 1433, 752, 1183, 519, 354, 473, 1652, 1604, 98, 1471, 279, 1673, 210, 165, 1239, 678]",1.437,0.429,1.168,2.343114891408062e-07,1.279015241444717e-305,True
62,1,0,6,57,"[708, 691, 933, 33, 1427, 540, 1580, 572, 770, 335, 1149, 1053, 826, 392, 1535, 422, 1769, 1355, 1726, 494, 1680, 1084, 83, 1076, 1184, 815, 1473, 285, 680, 577, 361, 89, 204, 1197, 512, 888, 225, 1233, 529, 441, 240, 1276, 1160, 406, 215, 128, 1008, 236, 1764, 281, 666, 1014, 1717, 59, 780, 1712, 470, 455]",1.796,0.442,1.588,0.00015370697884437617,2.3679252008989388e-111,True
63,1,1,6,48,"[1119, 587, 1234, 1839, 929, 1058, 34, 1306, 346, 540, 1258, 1, 1026, 1337, 432, 1799, 600, 1311, 69, 758, 1161, 506, 226, 1364, 577, 793, 1370, 1393, 1554, 780, 1034, 564, 697, 470, 1578, 1137, 49, 639, 1009, 681, 289, 132, 569, 1819, 1170, 1387, 1402, 1668, 1089]",2.055,0.525,1.852,0.013472376843858656,1.0447477690970056e-05,True
64,1,1,6,46,"[398, 1823, 1476, 1020, 1526, 575, 1385, 1549, 468, 593, 1056, 1752, 325, 673, 1362, 1142, 1581, 1354, 1405, 872, 737, 1313, 885, 1379, 1161, 183, 137, 1298, 1507, 1573, 1030, 62, 1121, 39, 202, 878, 1597, 157, 1246, 858, 1043, 474, 1317, 1174, 1665, 1125, 407]",1.75,0.701,1.586,0.001577517502572396,8.530833478749528e-40,True
0,2,"0,1",12,9,"[1607, 1655, 1631, 1151, 265, 720, 120, 1442, 624, 168]",1.346,0.095,1.249,0.0002255144146397387,2.8273341587579363e-11,True
1,2,"1,2",12,2,"[1538, 1586, 1562]",0.24,0.221,0.231,2.9880957836284045e-09,2.7745447972734205e-17,True
2,1,2,12,25,"[1465, 169, 889, 25, 939, 1657, 553, 49, 313, 1633, 1609, 1033, 625, 361, 697, 217, 410, 242, 841, 145, 1201, 121, 722, 482, 1443, 385]",0.611,0.132,0.451,3.6831082507049966e-05,8.10091575252528e-58,True
3,1,2,12,43,"[0, 336, 433, 120, 288, 913, 73, 1417, 792, 1632, 48, 888, 97, 960, 360, 265, 168, 216, 1656, 241, 312, 864, 1249, 1608, 624, 1584, 552, 770, 1704, 528, 1464, 696, 577, 24, 601, 144, 409, 481, 1344, 648, 720, 840, 1560, 455]",0.76,0.146,0.57,0.00013522976351902532,4.8669472996597234e-82,True
4,2,"2,1",12,3,"[356, 1460, 450, 139]",0.689,0.323,0.642,3.0858642909486194e-10,4.33549629508809e-27,True
5,3,"0,1,2",12,4,"[1550, 1574, 355, 138, 1598]",0.89,0.469,0.852,3.0869719146459007e-13,4.9268645050360555e-49,True
6,1,2,12,1,"[1219, 907]",0.259,0.259,0.259,0.000424491268736201,0.18470488833257886,False
7,1,2,12,5,"[1437, 20, 44, 308, 1749, 668]",0.379,0.273,0.331,0.015320044457924497,0.9999999140552139,False
8,1,2,12,40,"[504, 384, 192, 696, 864, 745, 624, 481, 1800, 144, 1464, 938, 216, 1081, 312, 1249, 1200, 168, 840, 1704, 120, 528, 1632, 552, 1656, 648, 1489, 24, 1512, 1176, 1130, 1608, 888, 1560, 1321, 1442, 266, 792, 336, 0, 98]",0.981,0.287,0.804,0.0003816860214878907,5.202402795349449e-57,True
